,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff,ema5_lowDiff
840,29-12-2020 22:45,35.55,36.4,28.75,31-12-2020 03:30,-2.390998594,36.1,36.4,35.6,35.55,35.44676993,35.30803205,35.12688829,74.9715411,1.385041551,2.618763925,0.29037994
841,01-01-2021 01:15,37.2,37.5,34.8,01-01-2021 01:50,-0.806451613,37.5,37.5,37.25,37.2,37.03124747,36.85129737,36.61540347,72.52205279,0.666666667,1.250006745,0.453635832
842,18-02-2021 03:55,42.65,43.1,39.05,18-02-2021 04:05,-1.055099648,43.1,43.1,42.85,42.65,42.32745989,41.94351765,41.51324374,77.70939855,0.580046404,1.792436454,0.756248796
843,03-05-2021 23:45,54.25,55.5,44.25,04-05-2021 00:40,-2.304147465,55,55.5,54.45,54.25,53.89617105,53.36952067,52.35065398,91.5596124,1,2.889781889,0.652219259
844,05-05-2021 23:45,57.8,59,48.2,06-05-2021 01:25,-2.076124567,58.85,59,58.2,57.8,57.31441678,56.72772369,55.80205624,84.44767215,1.104502974,2.856920715,0.840109381
845,10-05-2021 23:50,68.2,69.7,56.2,11-05-2021 00:00,-2.19941349,69.65,69.7,68.45,68.2,67.57630524,66.72111778,65.38526461,75.93051894,1.722900215,3.046907841,0.914508453
846,11-05-2021 05:20,74.4,75.15,68.4,11-05-2021 23:45,-1.008064516,75,75.15,74.5,74.4,74.37325706,73.93934365,72.74908565,75.41007526,0.666666667,1.033590076,0.035944815
847,22-11-2021 23:10,61.7,62.3,56.9,22-11-2021 23:30,-0.972447326,62.1,62.3,61.7,61.7,61.48647495,61.14407965,60.71279448,70.62036504,0.644122383,1.305818702,0.346069775
848,16-05-2022 23:45,49.1,49.9,42.7,17-05-2022 04:40,-1.629327902,49.9,49.9,49.25,49.1,48.8861718,48.69073483,48.40103098,76.99535368,1.30260521,2.031719843,0.435495319
849,25-10-2022 00:30,69.65,70.25,64.85,25-10-2022 03:40,-0.861450108,70.25,70.25,69.7,69.65,69.59288834,69.0227,67.81196277,80.95552707,0.782918149,0.935390264,0.081998077
850,01-09-2023 00:35,130.65,132.15,118.65,01-09-2023 01:05,-1.148105626,131.75,132.15,130.95,130.65,130.2132921,128.7893757,125.8266816,81.89888026,0.607210626,1.465537536,0.334257829
851,17-01-2018 22:45,357.75,362.2,322.15,19-01-2018 04:40,-1.243885395,361.95,362.2,358,357.75,355.7436048,354.8748267,352.9949001,76.457649,1.091310955,1.782549741,0.560837222
852,06-02-2018 03:55,319.55,322.85,293.15,06-02-2018 22:45,-1.032702238,322.5,322.85,320.05,319.55,318.8565704,316.9228491,313.1431332,70.99086035,0.759689922,1.236930353,0.217001923
853,25-07-2018 23:55,267.55,269.75,249.95,26-07-2018 00:15,-0.82227621,269.25,269.75,267.9,267.55,265.0960144,262.3445291,258.2679014,76.3414309,0.501392758,1.725295863,0.91720635
854,30-10-2018 03:40,258.95,260.8,244.15,30-10-2018 04:35,-0.714423634,260.8,260.8,258.95,258.95,257.6662257,256.4407598,253.7504632,70.06069003,0.709355828,1.20160058,0.495761464
855,19-03-2019 00:00,274.6,276.35,260.6,19-03-2019 01:00,-0.637290605,276.25,276.35,274.85,274.6,274.27181,273.2020935,270.76659,72.17941733,0.50678733,0.752013737,0.119515645
856,19-05-2019 23:55,257.6,260.85,231.6,20-05-2019 00:30,-1.261645963,260.7,260.85,257.6,257.6,254.4028659,251.5734794,248.1527822,75.7318607,1.189106252,2.471586763,1.241123475
857,15-12-2019 22:45,228.7,230.5,214.3,17-12-2019 00:10,-0.78705728,230.5,230.5,229.05,228.7,228.2965419,228.0176679,227.4415392,71.71400837,0.629067245,0.95594711,0.176413681
858,30-08-2020 23:50,117.3,118.5,107.7,31-08-2020 05:10,8.184143223,118.15,118.5,117.55,117.3,116.4325086,115.7594838,114.6888664,74.87804294,0.507829031,1.744718462,0.739549342
859,05-10-2020 00:30,92.55,93.3,86.55,09-10-2020 05:00,-0.810372771,93.2,93.3,92.55,92.55,92.14871504,91.62354843,90.86661925,72.64572571,0.697424893,1.233960299,0.433587206
860,29-10-2020 23:55,87.25,87.8,82.85,30-10-2020 01:10,-0.630372493,87.8,87.8,87.35,87.25,86.94666769,86.4954768,85.84634358,73.2399692,0.512528474,0.971904677,0.347658804
861,25-11-2020 03:10,99.7,100.8,90.9,26-11-2020 22:45,-1.10330993,100.45,100.8,99.9,99.7,99.68288743,99.1205472,97.93176816,71.84563515,0.547536088,1.108246599,0.017164064
862,26-11-2020 23:00,102.35,103,97.15,26-11-2020 23:25,-0.635075721,102.95,103,102.4,102.35,101.9329051,101.2656158,100.0055502,77.51898611,0.534239922,1.03601447,0.407518226
863,08-12-2020 22:50,138.15,143,99.35,12-01-2021 22:55,-3.510676801,141.4,143,138.45,138.15,137.7374591,135.6534358,132.2950245,76.22013091,2.086280057,3.680098512,0.298618076
864,04-02-2021 22:50,169.5,171.15,156.3,08-02-2021 22:50,7.787610619,170.85,171.15,169.9,169.5,166.6021475,164.7180729,162.3675181,75.8533822,0.556043313,2.657231933,1.709647465
865,02-03-2021 22:55,162.7,163.8,153.9,02-03-2021 23:15,-0.676090965,163.8,163.8,162.95,162.7,161.7325679,160.7733674,159.6000162,77.7976878,0.518925519,1.262168532,0.594610975
